ID,Name,Gender,Race,Height,Publisher,Alignment,Weight,Manipulative,Resourceful,Dismissive,Intelligent,Trusting,Loyal,Stubborn,Brave,HouseID,House,STR,DEX,CON,INT,WIS,CHA,Level,HP
A060,Bane,Male,Human,203,DC Comics,bad,180,9,6,8,3,3,2,5,7,1,Slytherin,11,13,12,16,15,14,3,21
A061,Banshee,Male,Human,183,Marvel Comics,good,77,9,9,6,2,3,5,5,7,1,Slytherin,9,12,11,15,18,13,9,54
A062,Bantam,Male,NA,165,Marvel Comics,good,54,9,8,3,5,6,7,2,8,1,Slytherin,18,14,10,16,14,14,14,112
A063,Batgirl,Female,NA,NA,DC Comics,good,NA,9,9,3,3,6,2,2,7,1,Slytherin,18,11,10,12,18,10,10,70
A073,Batwoman V,Female,Human,178,DC Comics,good,NA,9,7,5,4,8,6,3,7,1,Slytherin,10,13,16,16,14,11,5,45
A081,Big Barda,Female,New God,188,DC Comics,bad,135,7,7,7,4,2,4,5,2,1,Slytherin,14,17,16,18,18,12,8,80
A083,Big Man,Male,NA,165,Marvel Comics,bad,71,7,9,2,3,5,6,4,7,1,Slytherin,8,18,13,10,10,17,3,21
A085,Billy Kincaid,Male,NA,NA,Image Comics,bad,NA,9,9,8,1,4,7,4,2,1,Slytherin,16,18,13,18,18,17,10,60
A088,Bird-Brain,NA,NA,NA,Marvel Comics,good,NA,10,8,8,8,3,5,5,7,1,Slytherin,9,17,11,12,12,16,6,54
A092,Bishop,Male,Mutant,198,Marvel Comics,good,124,8,8,4,8,3,2,2,5,1,Slytherin,12,12,18,12,12,17,4,24
A098,Black Canary,Female,Metahuman,170,DC Comics,good,59,9,6,3,6,4,9,6,5,1,Slytherin,16,17,17,12,17,14,14,98
A102,Black Knight III,Male,Human,183,Marvel Comics,good,86,9,9,7,2,4,4,6,3,1,Slytherin,10,14,17,14,13,11,11,88
A113,Blaquesmith,NA,NA,NA,Marvel Comics,good,NA,7,10,2,7,2,5,7,6,1,Slytherin,12,15,17,14,17,10,7,70
A117,Blizzard,Male,NA,NA,Marvel Comics,bad,NA,9,8,5,7,9,7,5,2,1,Slytherin,17,14,12,14,18,14,4,36
A118,Blizzard II,Male,NA,175,Marvel Comics,bad,77,9,8,8,3,7,3,5,3,1,Slytherin,9,14,10,13,16,18,10,90
A121,Bloodhawk,Male,Mutant,NA,Marvel Comics,good,NA,9,10,4,7,1,2,6,8,1,Slytherin,10,13,18,14,17,11,8,72
A122,Bloodwraith,Male,NA,30.5,Marvel Comics,bad,NA,7,9,6,7,2,4,3,9,1,Slytherin,15,17,18,13,12,18,9,81
A124,Blue Beetle,Male,NA,NA,DC Comics,good,NA,9,8,7,5,6,6,6,3,1,Slytherin,13,16,14,10,16,18,4,36
A125,Blue Beetle II,Male,NA,183,DC Comics,good,86,6,8,5,8,2,5,8,4,1,Slytherin,13,17,11,14,16,18,13,130
A130,Boom-Boom,Female,Mutant,165,Marvel Comics,good,55,9,8,8,8,4,3,5,2,1,Slytherin,8,14,15,17,16,11,11,77
A131,Boomer,Female,NA,NA,Marvel Comics,good,NA,6,7,6,4,6,4,4,5,1,Slytherin,10,13,12,13,18,13,14,140
A135,Box IV,NA,NA,NA,Marvel Comics,good,NA,9,9,4,3,7,4,5,6,1,Slytherin,9,10,15,18,13,18,3,18
A139,Brundlefly,Male,Mutant,193,,NA,NA,10,7,9,7,4,6,7,6,1,Slytherin,17,10,12,12,14,12,7,56
A145,Cable,Male,Mutant,203,Marvel Comics,good,158,7,9,7,1,3,4,2,3,1,Slytherin,8,18,17,10,13,15,15,150
A150,Captain Atom,Male,Human / Radiation,193,DC Comics,good,90,7,10,8,4,2,9,4,6,1,Slytherin,15,18,17,16,11,13,5,50
A152,Captain Cold,Male,Human,NA,DC Comics,neutral,NA,9,8,9,4,7,7,6,5,1,Slytherin,9,17,12,16,16,14,11,77
A153,Captain Epic,Male,NA,188,Team Epic TV,good,NA,6,10,5,3,2,2,5,6,1,Slytherin,18,12,15,18,17,17,11,99
A155,Captain Mar-vell,Male,NA,188,Marvel Comics,good,108,8,10,4,8,9,6,4,4,1,Slytherin,8,16,15,14,11,16,5,35
A160,Captain Planet,Male,God / Eternal,NA,Marvel Comics,good,NA,6,7,7,7,6,7,8,4,1,Slytherin,15,14,10,16,13,18,4,32
A163,Cat,Female,NA,173,Marvel Comics,good,61,6,9,8,3,6,7,6,6,1,Slytherin,14,11,13,12,11,11,8,72
A165,Catwoman,Female,Human,175,DC Comics,good,61,9,6,5,5,7,8,7,2,1,Slytherin,9,15,18,11,12,18,4,36
A170,Chameleon,Male,NA,NA,DC Comics,bad,NA,9,7,3,4,2,5,6,5,1,Slytherin,12,16,12,14,11,10,11,110
A174,Cheetah III,Female,Human,175,DC Comics,bad,54,6,7,3,3,7,5,3,2,1,Slytherin,15,14,11,18,18,11,7,56
A175,Chromos,Male,NA,185,Team Epic TV,bad,86,6,9,8,6,7,8,4,7,1,Slytherin,18,18,18,13,17,18,3,30
A176,Chuck Norris,Male,NA,178,,good,NA,10,10,3,9,4,5,9,4,1,Slytherin,16,10,13,11,18,17,6,60
A183,Colin Wagner,Male,NA,NA,HarperCollins,good,NA,7,7,7,3,2,3,3,3,1,Slytherin,17,15,11,13,14,12,12,96
A191,Crystal,Female,Inhuman,168,Marvel Comics,good,50,9,8,6,2,4,1,5,4,1,Slytherin,18,10,18,11,12,18,15,135
A193,Cy-Gor,Male,NA,NA,Image Comics,bad,NA,8,7,7,6,5,4,6,3,1,Slytherin,17,12,10,17,12,10,14,140
A199,Danny Cooper,Male,NA,NA,HarperCollins,good,NA,8,7,2,8,2,4,4,8,1,Slytherin,16,10,17,14,11,11,13,130
A200,Daphne Powell,Female,NA,NA,ABC Studios,good,NA,9,9,1,3,6,7,9,9,1,Slytherin,16,15,13,16,15,18,11,99
A203,Darkman,Male,NA,NA,Universal Studios,good,NA,8,8,5,6,7,2,1,4,1,Slytherin,17,14,17,13,12,13,4,24
A206,Darkstar,Female,Mutant,168,Marvel Comics,good,56,8,7,5,6,7,2,8,3,1,Slytherin,14,12,16,11,15,16,9,90
A209,Dash,Male,Human,122,Dark Horse Comics,good,27,8,8,5,7,9,5,5,7,1,Slytherin,15,15,13,16,10,11,13,117
A213,Deadpool,Male,Mutant,188,Marvel Comics,neutral,95,7,8,7,1,7,6,1,9,1,Slytherin,18,11,18,18,12,18,11,88
A216,Deathstroke,Male,Human,193,DC Comics,neutral,101,10,8,2,3,5,5,8,6,1,Slytherin,14,17,14,17,17,14,7,42
A219,Diamondback,Male,Human,193,Marvel Comics,bad,90,8,8,5,1,3,5,8,6,1,Slytherin,12,13,10,15,18,12,14,140
A228,Donatello,Male,Mutant,NA,IDW Publishing,good,NA,8,8,6,7,4,8,3,3,1,Slytherin,14,10,10,13,12,11,9,54
A229,Donna Troy,Female,Amazon,175,DC Comics,good,63,9,10,5,6,6,7,4,9,1,Slytherin,12,17,11,18,17,14,1,8
A238,Elektra,Female,Human,175,Marvel Comics,good,59,7,9,6,8,2,2,5,6,1,Slytherin,12,11,12,11,18,18,9,54
A239,Elle Bishop,Female,NA,NA,NBC - Heroes,bad,NA,9,6,5,6,4,6,5,8,1,Slytherin,16,11,12,12,15,17,13,104
A247,Evil Deadpool,Male,Mutant,188,Marvel Comics,bad,95,9,6,4,5,4,7,6,8,1,Slytherin,10,17,15,13,12,18,13,91
A248,Evilhawk,Male,Alien,191,Marvel Comics,bad,106,8,7,2,5,6,7,5,6,1,Slytherin,14,14,12,15,11,14,3,24
A253,Faora,Female,Kryptonian,NA,DC Comics,bad,NA,7,10,8,4,9,4,9,7,1,Slytherin,9,15,11,18,13,11,1,10
A256,Fin Fang Foom,Male,Kakarantharaian,975,Marvel Comics,good,18,9,7,1,9,4,8,5,8,1,Slytherin,14,17,16,12,12,13,8,80
A258,Firelord,NA,NA,193,Marvel Comics,good,99,6,10,6,4,2,5,6,4,1,Slytherin,12,18,12,17,14,15,12,72
A259,Firestar,Female,Mutant,173,Marvel Comics,good,56,7,9,5,7,5,7,4,2,1,Slytherin,10,13,15,17,11,15,1,6
A264,Flash Gordon,Male,NA,NA,,good,NA,7,9,7,4,8,5,7,7,1,Slytherin,12,17,12,10,14,10,8,48
A265,Flash II,Male,Human,183,DC Comics,good,88,8,7,7,9,3,7,8,1,1,Slytherin,13,11,14,10,12,11,13,91
A270,Franklin Storm,NA,NA,188,Marvel Comics,good,92,8,9,3,5,3,3,6,1,1,Slytherin,18,13,18,12,17,14,1,8
A275,Gamora,Female,Zen-Whoberian,183,Marvel Comics,good,77,8,9,5,6,3,7,2,8,1,Slytherin,12,16,10,16,18,12,3,18
A287,Godzilla,NA,Kaiju,108,,bad,,9,8,5,4,6,3,6,5,1,Slytherin,8,18,16,16,17,17,1,7
A294,Gorilla Grodd,Male,Gorilla,198,DC Comics,bad,270,10,7,7,2,5,8,5,2,1,Slytherin,8,18,15,15,16,16,15,120
A295,Granny Goodness,Female,NA,178,DC Comics,bad,115,10,10,2,9,7,3,5,2,1,Slytherin,14,17,13,17,10,18,13,130
A296,Gravity,Male,Human,178,Marvel Comics,good,79,7,8,3,2,3,6,2,3,1,Slytherin,15,14,10,18,14,11,12,84
A299,Green Goblin,Male,Human,180,Marvel Comics,bad,83,9,7,4,8,3,7,7,4,1,Slytherin,8,18,18,15,17,13,15,90
A302,Green Goblin IV,Male,NA,178,Marvel Comics,good,79,8,8,1,8,5,7,4,5,1,Slytherin,9,11,10,13,11,17,12,120
A303,Groot,Male,Flora Colossus,701,Marvel Comics,good,4,6,8,7,6,6,2,3,5,1,Slytherin,11,15,17,11,14,14,14,98
A304,Guardian,Male,Human,NA,Marvel Comics,good,NA,7,10,6,3,9,6,6,1,1,Slytherin,11,12,12,18,15,15,12,96
A308,Hancock,Male,Human,188,Sony Pictures,good,NA,8,9,7,3,5,3,7,7,1,Slytherin,12,15,17,13,18,16,1,7
A313,Hawkeye,Male,Human,191,Marvel Comics,good,104,10,8,3,7,7,5,7,7,1,Slytherin,10,10,16,16,11,17,1,10
A316,Hawkman,Male,NA,185,DC Comics,good,88,6,7,6,4,3,3,8,4,1,Slytherin,11,17,17,16,11,15,5,50
A319,Hawkwoman III,Female,NA,170,DC Comics,good,65,7,10,1,4,8,8,8,7,1,Slytherin,18,11,18,12,10,11,6,36
A324,Hellstorm,Male,NA,185,Marvel Comics,good,81,9,10,5,5,2,2,8,8,1,Slytherin,8,10,16,15,13,16,8,48
A331,Howard the Duck,Male,NA,79,Marvel Comics,good,18,7,7,3,6,4,1,6,9,1,Slytherin,12,14,12,11,13,12,15,90
A332,Hulk,Male,Human / Radiation,244,Marvel Comics,good,630,7,8,1,6,4,7,6,8,1,Slytherin,18,12,14,18,11,14,14,140
A335,Husk,Female,Mutant,170,Marvel Comics,good,58,10,9,7,3,8,7,1,8,1,Slytherin,12,13,11,10,15,18,8,48
A339,Iceman,Male,Mutant,173,Marvel Comics,good,65,7,9,6,6,5,7,6,3,1,Slytherin,18,18,10,11,14,10,11,99
A340,Impulse,Male,Human,170,DC Comics,good,65,8,6,4,8,8,4,6,1,1,Slytherin,14,14,12,13,16,13,2,20
A341,Indiana Jones,Male,Human,183,George Lucas,good,79,6,9,3,3,3,5,7,3,1,Slytherin,14,10,13,14,11,17,8,56
A350,Jack of Hearts,Male,Human,155,Marvel Comics,good,79,10,9,9,3,5,3,6,6,1,Slytherin,16,14,13,16,15,16,4,28
A351,Jack-Jack,Male,Human,71,Dark Horse Comics,good,14,7,8,6,3,4,7,4,2,1,Slytherin,13,18,16,13,16,10,2,12
A352,James Bond,Male,Human,183,Titan Books,good,NA,8,10,3,3,7,7,8,3,1,Slytherin,13,14,12,13,16,17,13,130
A357,Jean-Luc Picard,Male,Human,NA,Star Trek,good,NA,7,8,2,7,4,7,7,6,1,Slytherin,16,15,16,18,10,14,2,18
A358,Jennifer Kale,Female,NA,168,Marvel Comics,good,55,7,8,8,5,3,9,6,7,1,Slytherin,13,10,18,14,13,13,15,120
A360,Jessica Cruz,Female,Human,NA,DC Comics,good,NA,8,10,5,6,3,7,7,6,1,Slytherin,12,18,11,11,12,12,5,50
A366,Johann Krauss,Male,NA,NA,Dark Horse Comics,good,NA,9,8,6,8,6,8,5,5,1,Slytherin,15,18,15,14,15,17,3,30
A367,John Constantine,Male,Human,183,DC Comics,good,NA,8,8,5,5,8,6,5,9,1,Slytherin,10,11,12,17,15,15,5,50
A369,John Wraith,Male,NA,183,Marvel Comics,good,88,7,10,5,6,5,5,6,4,1,Slytherin,17,18,14,14,17,15,8,48
A371,Jolt,Female,NA,165,Marvel Comics,good,49,6,7,3,1,4,3,5,6,1,Slytherin,17,17,11,16,18,16,6,48
A373,Judge Dredd,Male,Human,188,Rebellion,good,NA,8,7,4,7,4,4,5,8,1,Slytherin,14,14,11,12,15,15,12,96
A380,Karate Kid,Male,Human,173,DC Comics,good,72,9,7,2,8,7,7,7,2,1,Slytherin,9,11,13,17,15,16,14,140
A385,Kid Flash,Male,Human,NA,DC Comics,good,NA,7,8,3,6,7,4,4,5,1,Slytherin,8,14,10,12,11,11,6,60
A387,Killer Croc,Male,Metahuman,244,DC Comics,bad,356,9,6,4,6,7,6,4,7,1,Slytherin,9,15,16,16,12,18,9,81
A390,King Kong,Male,Animal,30.5,,good,,8,9,7,4,6,3,1,5,1,Slytherin,17,12,14,16,11,15,14,126
A393,Klaw,Male,Human,188,Marvel Comics,bad,97,8,7,4,5,6,5,9,5,1,Slytherin,16,17,17,17,17,11,5,35
A397,Krypto,Male,Kryptonian,64,DC Comics,good,18,10,7,5,6,1,5,4,9,1,Slytherin,18,12,10,18,13,15,3,24
A398,Kyle Rayner,Male,Human,180,DC Comics,good,79,7,8,6,5,4,8,5,8,1,Slytherin,11,18,11,13,16,18,13,117
A400,Lady Bullseye,Female,NA,NA,Marvel Comics,bad,NA,9,7,6,8,7,1,5,7,1,Slytherin,16,11,14,15,16,13,6,42
A401,Lady Deathstrike,Female,Cyborg,175,Marvel Comics,bad,58,6,8,7,3,5,7,7,8,1,Slytherin,9,14,17,11,10,10,15,120
A409,Lightning Lord,Male,NA,191,DC Comics,bad,95,9,10,5,3,5,7,5,4,1,Slytherin,15,13,15,18,14,13,13,78
A415,Loki,Male,Asgardian,193,Marvel Comics,bad,236,8,7,7,4,7,7,4,2,1,Slytherin,16,17,16,16,16,12,5,35
A417,Luke Cage,Male,Human,198,Marvel Comics,good,191,8,6,7,5,9,6,5,7,1,Slytherin,12,15,15,14,12,10,14,98
A418,Luke Campbell,Male,NA,NA,NBC - Heroes,bad,NA,9,8,9,3,8,6,5,4,1,Slytherin,18,13,16,13,13,15,14,140
A419,Luke Skywalker,Male,Human,168,George Lucas,good,77,8,10,9,7,5,2,2,2,1,Slytherin,17,16,15,18,12,10,7,49
A422,Mach-IV,Male,NA,180,Marvel Comics,bad,79,9,7,8,4,4,6,3,1,1,Slytherin,11,15,14,13,17,10,11,77
A425,Magog,Male,NA,NA,DC Comics,good,NA,7,8,5,7,4,7,5,6,1,Slytherin,13,10,11,11,10,17,9,63
A428,Man-Bat,Male,Human,NA,DC Comics,neutral,NA,8,8,6,6,7,1,6,4,1,Slytherin,11,12,17,14,10,16,13,117
A433,Martian Manhunter,Male,Martian,201,DC Comics,good,135,7,6,6,3,5,4,6,3,1,Slytherin,17,12,18,18,14,11,8,48
A438,Matt Parkman,Male,NA,NA,NBC - Heroes,good,NA,7,7,1,8,1,1,7,4,1,Slytherin,18,16,13,11,15,16,6,54
A442,Medusa,Female,Inhuman,180,Marvel Comics,good,59,6,7,2,4,8,8,3,8,1,Slytherin,12,14,18,17,14,16,11,88
A444,Mephisto,Male,NA,198,Marvel Comics,bad,140,10,8,8,3,8,9,5,6,1,Slytherin,18,14,10,14,14,18,7,70
A445,Mera,Female,Atlantean,175,DC Comics,good,72,8,7,4,5,5,7,2,6,1,Slytherin,17,16,13,14,12,13,6,60
A456,Miss Martian,Female,NA,178,DC Comics,good,61,8,8,7,5,7,9,8,4,1,Slytherin,16,13,15,16,14,17,3,21
A458,Mister Freeze,Male,Human,183,DC Comics,bad,86,9,10,5,4,8,5,5,7,1,Slytherin,17,18,11,11,16,10,7,56
A465,Mogo,Male,Planet,NA,DC Comics,good,NA,7,7,8,9,3,4,5,3,1,Slytherin,18,10,12,10,16,18,6,42
A471,Moon Knight,Male,Human,188,Marvel Comics,good,101,9,8,6,4,7,4,6,9,1,Slytherin,10,16,15,17,18,11,4,32
A472,Moonstone,Female,NA,180,Marvel Comics,bad,59,8,7,6,5,8,9,7,4,1,Slytherin,17,18,12,18,16,10,3,18
A474,Morph,Male,NA,178,Marvel Comics,good,79,7,8,2,7,2,6,7,7,1,Slytherin,15,15,17,15,16,17,7,70
A475,Moses Magnum,Male,NA,175,Marvel Comics,bad,72,9,8,7,5,5,8,7,6,1,Slytherin,13,16,16,15,12,14,9,81
A477,Mr Incredible,Male,Human,201,Dark Horse Comics,good,158,10,10,6,4,3,9,1,3,1,Slytherin,17,15,17,14,12,10,12,72
A479,Multiple Man,Male,NA,180,Marvel Comics,good,70,10,10,6,4,8,8,9,6,1,Slytherin,8,10,11,16,10,18,1,6
A493,Niki Sanders,Female,NA,NA,NBC - Heroes,good,NA,6,7,8,4,1,7,4,8,1,Slytherin,17,13,15,11,11,11,10,60
A494,Nina Theroux,Female,Alpha,NA,SyFy,good,NA,8,6,6,3,7,7,8,2,1,Slytherin,16,14,11,14,12,12,7,49
A495,Nite Owl II,Male,NA,NA,DC Comics,good,NA,9,9,4,1,7,7,6,4,1,Slytherin,12,11,15,14,18,14,2,18
A497,Nova,Male,Human,185,Marvel Comics,good,86,10,8,2,6,6,8,9,5,1,Slytherin,16,18,18,12,14,15,9,72
A500,Offspring,Male,NA,NA,DC Comics,good,NA,6,9,9,6,7,1,3,4,1,Slytherin,17,12,12,11,16,11,12,84
A505,Onslaught,Male,Mutant,305,Marvel Comics,bad,405,9,9,5,7,9,5,9,5,1,Slytherin,17,12,14,13,11,17,8,64
A506,Oracle,Female,Human,178,DC Comics,good,59,9,7,8,2,9,5,5,8,1,Slytherin,11,13,18,14,10,10,7,70
A512,Penance,NA,NA,NA,Marvel Comics,good,NA,9,9,5,2,9,7,2,3,1,Slytherin,12,15,10,13,10,11,1,10
A513,Penance I,Female,NA,NA,Marvel Comics,good,NA,10,9,6,9,2,5,9,3,1,Slytherin,8,14,10,12,11,11,11,99
A514,Penance II,Male,NA,183,Marvel Comics,good,89,9,8,6,3,3,3,7,2,1,Slytherin,17,15,18,17,15,12,5,50
A515,Penguin,Male,Human,157,DC Comics,bad,79,9,8,4,6,6,7,3,3,1,Slytherin,17,15,11,10,18,14,6,54
A530,Professor Zoom,Male,Human,180,DC Comics,bad,81,9,8,4,9,4,1,9,6,1,Slytherin,12,12,18,17,11,15,1,9
A534,Purple Man,Male,Human,180,Marvel Comics,bad,74,7,8,7,6,6,4,5,5,1,Slytherin,14,10,12,18,18,15,5,50
A539,Quicksilver,Male,Mutant,183,Marvel Comics,good,79,7,6,3,4,8,5,9,7,1,Slytherin,17,11,12,17,10,13,2,12
A542,Rachel Pirzad,Female,Alpha,NA,SyFy,good,NA,7,6,6,8,3,8,7,7,1,Slytherin,14,17,17,16,12,11,12,96
A546,Ray,Male,Human,178,DC Comics,good,70,7,9,7,4,7,3,7,9,1,Slytherin,15,13,10,10,17,16,10,70
A549,Red Hood,Male,Human,183,DC Comics,neutral,81,8,10,3,6,3,3,4,5,1,Slytherin,9,17,14,18,11,10,4,24
A550,Red Hulk,Male,Human / Radiation,213,Marvel Comics,neutral,630,7,6,9,6,8,6,2,6,1,Slytherin,10,12,15,16,12,12,6,36
A552,Red Robin,Male,Human,165,DC Comics,good,56,9,9,9,5,5,9,8,7,1,Slytherin,14,17,10,15,17,15,15,150
A558,Rey,Female,Human,297,George Lucas,good,NA,9,9,7,6,1,3,4,7,1,Slytherin,15,18,16,11,11,17,12,120
A561,Riddler,Male,NA,NA,DC Comics,bad,NA,6,6,6,5,4,3,9,4,1,Slytherin,16,13,11,15,10,11,13,104
A568,Robin VI,Female,Human,NA,DC Comics,neutral,NA,6,8,6,3,8,2,4,5,1,Slytherin,8,12,10,18,16,11,2,14
A573,Sabretooth,Male,Mutant,198,Marvel Comics,bad,171,6,9,5,2,4,4,1,4,1,Slytherin,12,16,17,18,11,15,6,54
A574,Sage,Female,NA,170,Marvel Comics,good,61,8,7,3,6,4,8,3,2,1,Slytherin,18,18,11,18,18,11,2,20
A576,Sasquatch,Male,NA,305,Marvel Comics,good,900,7,6,5,3,5,7,2,7,1,Slytherin,9,16,14,18,17,18,14,84
A581,Scarlet Spider II,Male,Clone,193,Marvel Comics,good,113,9,8,6,1,8,7,4,7,1,Slytherin,13,18,17,11,15,11,4,32
A583,Scorpia,Female,NA,NA,Marvel Comics,bad,NA,8,6,6,9,5,3,7,2,1,Slytherin,10,10,12,10,17,14,6,60
A586,Sentry,Male,Mutant,188,Marvel Comics,neutral,87,7,9,8,5,8,8,3,7,1,Slytherin,13,10,14,15,11,14,4,24
A588,Shadow Lass,Female,Talokite,173,DC Comics,good,54,10,6,4,3,3,3,3,9,1,Slytherin,9,18,17,10,14,11,13,91
A590,Shang-Chi,Male,Human,178,Marvel Comics,good,79,9,7,7,6,2,3,5,4,1,Slytherin,10,16,15,15,12,11,3,30
A593,She-Thing,Female,Human / Radiation,183,Marvel Comics,good,153,9,10,4,2,5,2,3,4,1,Slytherin,11,17,10,11,18,15,5,45
A594,Shocker,Male,Human,175,Marvel Comics,bad,79,10,10,2,9,7,3,4,5,1,Slytherin,14,13,15,10,13,13,11,110
A600,Silk Spectre II,Female,NA,NA,DC Comics,good,NA,6,7,5,5,7,8,6,6,1,Slytherin,8,10,18,15,12,15,6,54
A603,Simon Baz,Male,Human,NA,DC Comics,good,NA,8,8,2,7,1,6,3,2,1,Slytherin,17,16,15,13,13,11,8,72
A607,Siryn,Female,NA,168,Marvel Comics,bad,52,7,7,9,6,4,8,5,4,1,Slytherin,14,12,17,13,18,12,10,70
A608,Skaar,Male,NA,198,Marvel Comics,good,180,8,9,9,3,3,3,7,2,1,Slytherin,9,11,10,18,12,15,5,35
A614,Space Ghost,Male,Human,188,DC Comics,good,113,9,6,4,5,8,4,7,6,1,Slytherin,12,11,16,13,12,11,11,110
A622,Spider-Gwen,Female,Human,165,Marvel Comics,good,56,7,8,7,3,7,5,4,7,1,Slytherin,9,13,14,18,18,13,11,66
A632,Stacy X,Female,NA,NA,Marvel Comics,good,NA,8,9,1,3,2,3,2,7,1,Slytherin,15,16,11,13,12,12,8,56
A641,Storm,Female,Mutant,180,Marvel Comics,good,57,9,7,3,2,6,9,3,7,1,Slytherin,13,13,10,14,17,13,4,32
A642,Stormtrooper,Male,Human,183,George Lucas,bad,NA,8,10,5,7,4,4,5,8,1,Slytherin,18,12,17,14,13,16,10,60
A644,Superboy,Male,NA,170,DC Comics,good,68,6,10,4,8,2,8,2,6,1,Slytherin,10,16,11,17,11,10,9,72
A646,Supergirl,Female,Kryptonian,165,DC Comics,good,54,9,6,3,8,5,3,6,8,1,Slytherin,9,14,15,14,17,17,1,9
A653,T-800,Male,Cyborg,NA,Dark Horse Comics,bad,176,7,9,4,8,7,7,7,2,1,Slytherin,10,14,16,18,15,18,15,90
A658,Thanos,Male,Eternal,201,Marvel Comics,bad,443,9,10,5,6,7,5,5,5,1,Slytherin,8,13,18,14,14,16,4,32
A661,Thing,Male,Human / Radiation,183,Marvel Comics,good,225,10,6,7,3,2,1,2,8,1,Slytherin,13,13,16,17,16,14,2,16
A664,Thunderbird,Male,NA,185,Marvel Comics,good,101,8,8,2,3,6,8,7,2,1,Slytherin,12,11,12,18,10,14,13,78
A671,Tinkerer,Male,NA,163,Marvel Comics,bad,54,7,10,2,9,1,5,5,8,1,Slytherin,16,15,15,10,10,11,10,70
A672,Titan,Male,NA,NA,HarperCollins,good,NA,9,8,5,5,5,7,7,6,1,Slytherin,9,14,17,15,12,11,5,35
A678,Trigon,Male,God / Eternal,NA,DC Comics,bad,NA,8,9,6,4,7,7,9,4,1,Slytherin,10,13,12,15,14,12,11,88
A682,Ultragirl,Female,NA,168,Marvel Comics,good,105,6,10,4,3,7,7,6,5,1,Slytherin,10,14,18,12,14,13,4,40
A684,Utgard-Loki,Male,Frost Giant,15.2,Marvel Comics,bad,58,9,9,5,6,9,6,4,7,1,Slytherin,17,10,15,17,10,11,6,54
A685,Vagabond,Female,NA,168,Marvel Comics,good,54,7,7,7,9,6,8,7,9,1,Slytherin,17,18,17,14,10,18,5,40
A686,Valerie Hart,Female,NA,175,Team Epic TV,good,56,6,9,9,8,5,2,3,5,1,Slytherin,11,11,13,17,11,16,4,32
A692,Venom III,Male,Symbiote,229,Marvel Comics,bad,334,10,8,6,2,4,1,5,7,1,Slytherin,16,15,18,15,12,11,4,32
A696,Vindicator,Female,Human,165,Marvel Comics,good,54,10,9,3,4,4,7,3,6,1,Slytherin,10,10,12,16,17,17,9,63
A697,Vindicator,Male,NA,NA,Marvel Comics,good,NA,6,7,4,6,6,8,7,5,1,Slytherin,16,17,15,16,17,13,4,28
